id,latitude,longitude,neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms_clean,price,price_per_person,minimum_nights,availability_365,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating
234910,38.69914,-9.41998,Cascais e Estoril,Entire home/apt,5,1.0,1.0,1.0,87.0,17.4,3,147,0.0,1.0,1.0,0,123,0.74,4.55
249727,38.840667724609375,-9.46168041229248,Colares,Entire home/apt,6,3.0,3.0,1.0,207.0,34.5,4,287,0.0,1.0,1.0,0,45,0.29,4.57
250288,38.71379,-9.13521,Santa Maria Maior,Entire home/apt,2,1.0,1.0,1.0,79.0,39.5,7,333,0.0,1.0,1.0,0,509,3.07,4.66
250491,38.71686,-9.14014,Arroios,Entire home/apt,2,1.0,1.0,1.0,126.0,63.0,3,288,1.0,1.0,1.0,1,68,0.44,4.71
250526,38.71004,-9.15209,Misericrdia,Entire home/apt,2,1.0,1.0,1.0,105.0,52.5,3,288,0.0,1.0,1.0,1,324,1.95,4.88
257480,38.71343,-9.12557,So Vicente,Entire home/apt,2,1.0,1.0,1.0,97.0,48.5,2,230,0.0,1.0,1.0,0,530,3.22,4.74
257560,38.71081,-9.12816,Santa Maria Maior,Entire home/apt,4,1.0,1.0,1.0,129.0,32.25,2,43,0.0,1.0,1.0,1,373,2.36,4.57
261733,38.71165,-9.1463,Misericrdia,Entire home/apt,4,2.0,3.0,1.0,118.0,29.5,3,304,0.0,1.0,1.0,0,404,2.48,4.7
262616,38.71774,-9.15487,Santo Antnio,Entire home/apt,4,1.0,1.0,1.0,159.0,39.75,3,317,1.0,1.0,1.0,0,98,0.61,4.81
267235,38.7225,-9.15488,Santo Antnio,Entire home/apt,5,2.0,2.0,1.0,160.0,32.0,3,259,0.0,1.0,1.0,1,105,0.66,4.19
270591,39.10639,-9.2355,"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",Entire home/apt,11,5.0,8.0,4.0,286.0,26.0,2,207,1.0,1.0,1.0,0,59,0.49,4.49
271430,38.71291,-9.14234,Santa Maria Maior,Entire home/apt,4,2.0,2.0,1.0,166.0,41.5,2,108,1.0,1.0,1.0,0,256,1.66,4.87
273835,38.69186,-9.35836,Carcavelos e Parede,Entire home/apt,6,3.0,5.0,1.0,145.0,24.166666666666668,6,275,1.0,1.0,1.0,0,41,0.29,4.71
279549,38.71001,-9.14374,Misericrdia,Entire home/apt,7,3.0,4.0,3.0,280.0,40.0,5,257,1.0,1.0,1.0,0,369,2.31,4.88
281407,38.72621,-9.14318,Santo Antnio,Entire home/apt,10,3.0,5.0,3.0,218.0,21.8,3,212,0.0,1.0,1.0,0,13,0.13,4.08
286706,38.72486,-9.14329,Santo Antnio,Entire home/apt,6,1.0,3.0,1.0,96.0,16.0,3,91,0.0,1.0,1.0,0,9,0.07,4.22
291676,38.71308,-9.14514,Misericrdia,Entire home/apt,6,3.0,4.0,2.0,172.0,28.666666666666668,2,113,0.0,1.0,1.0,0,12,0.08,4.33
